codigo;titulo;tipo;revisao;data_revisao;data_aprovacao;setor;area;elaborador;revisor;aprovador;numero;descricao;proxima_revisao;data_validade;documentos_controlados
DOC.102;Organograma - Ceditop;DOC;1;27/09/2025;30/09/2025;;;;;;;;30/09/2026;29/12/2026;Sim
DOC.103;Codificação_Padrão DIG;DOC;0;18/11/2024;22/11/2024;;;;;;;;22/11/2025;20/02/2026;Sim
DOC.104;Processo em Casos de Emergência - Ceditop;DOC;0;12/12/2024;18/02/2025;;;;;;;;18/02/2026;19/05/2026;Sim
DOC.106;Gabarito de Utlização de Blue Tape - Fitadeira Manual;DOC;0;12/02/2025;10/06/2025;;;;;;;;10/06/2026;08/09/2026;Sim
DOC.107;Política de Estoque - Repro;DOC;0;12/02/2025;12/02/2025;;;;;;;;12/02/2026;21/01/2027;Sim
DOC.108;Softwares para Validação - Lab Rio;DOC;0;01/05/2025;05/06/2025;;;;;;;;05/06/2026;03/09/2026;Sim
DOC.109;Critério de Conformidade Cosmética - Lentes Stellest - Lab Rio;DOC;0;01/05/2025;15/05/2025;;;;;;;;15/05/2026;13/08/2026;Sim
DOC.110;Procedimento para armações Danificadas - Visolab;DOC;0;22/05/2025;29/05/2025;;;;;;;;29/05/2026;27/08/2026;Sim
DOC.111;Softwares para Validação - Visolab;DOC;0;09/06/2025;25/06/2025;;;;;;;;25/06/2026;23/09/2026;Sim
DOC.113;Organograma - Technopark;DOC;0;08/08/2025;04/09/2025;;;;;;;Organograma - Technopark;04/09/2026;03/12/2026;Sim
DOC.114;Leitura do Pedido de Defeito e Quebra no Estoque - Repro;DOC;0;28/08/2025;29/08/2025;;;;;;;;29/08/2026;27/11/2026;Sim
DOC.115;Bases Diferentes no Estoque - Repro;DOC;0;28/08/2025;29/08/2025;;;;;;;;29/08/2026;27/11/2026;Sim
DOC.116;Avaliação de Conferência Óptica - Lab Rio;DOC;0;24/09/2025;30/09/2025;;;;;;;;30/09/2026;29/12/2026;Sim
DOC.117;Avaliação de Conferência de Montagem - Lab Rio;DOC;0;24/09/2025;29/09/2025;;;;;;;"Ajustadas os seguintes itens: - Nome do Documento; - Fotos em linha do texto; - Erros de digitação; - Formatação de texto.";29/09/2026;28/12/2026;Sim
DOC.118;Avaliação de FOG-ID para Lentes com Antirreflexo Crizal e No Reflex - Lab Rio;DOC;0;08/10/2025;13/10/2025;;;;;;;Documento para usar em treinamento de reciclagem de auditoria de produto.;13/10/2026;11/01/2027;Sim
DEX.002;ISO 9001:2015 - Sistemas de gestão da qualidade - Requisitos;DEX;0;28/02/2019;28/02/2019;;;;;;;;19/08/2026;18/11/2026;Sim
DEX.003;QEE-0335.r13_Seguranca_do_Qualiex_Essilor;DEX;0;13/03/2019;13/03/2019;;;;;;;;;;Não
DEX.004;Termos-de-uso Forlogic X Essilor;DEX;0;13/03/2019;13/03/2019;;;;;;;;;;Não
DEX.005;Minuta Contrato Padrão Prestação de Serviços;DEX;0;13/03/2019;13/03/2019;;;;;;;;;;Não
DEX.006;ABNT NBR ISO.IEC17025 - Requisitos gerais para a competência de laboratórios de ensaio e calibração;DEX;0;08/04/2019;08/04/2019;;;;;;;;19/08/2026;17/11/2026;Sim
DEX.008;ICR08041 - HC Control Plan for Rx Labs;DEX;2;14/08/2024;26/08/2024;;;;;;;;26/08/2026;24/11/2026;Sim
DEX.009;ISTM 04025 Rx Optica Specification - Inteiras e cortadas  - Português;DEX;1;24/08/2020;24/08/2020;;;;;;;;;;Não
DEX.010;ICR08041 - HC Control Plan for Rx Labs;DEX;1;24/08/2020;24/08/2020;;;;;;;;;;Não
DEX.011;Finished lenses optical standard ISTM 04.025;DEX;3;09/06/2025;12/08/2025;;;;;;;ISO / ANSI Optical tolerances;12/08/2026;10/11/2026;Sim
DEX.012;ISTM04 - 024  - Rx Cosmetic Standard;DEX;4;02/08/2023;04/08/2023;;;;;;;;03/08/2026;03/11/2026;Sim
DEX.014;IMS18E78 - Criza Easy E-SPF 25 Mithril 1.5 - Côncavo;DEX;1;22/03/2016;22/03/2016;;;;;;;Rev1 - 22/03/2016;;;Não
DEX.015;IMS18E64 - Crizal Forte UV E-SPF 25 Mithril 1.5 - Côncavo;DEX;2;22/03/2016;22/03/2016;;;;;;;;;;Não
DEX.016;IMS18E65 - Crizal Forte UV E-SPF 35 Mithril 1.5 - Côncavo;DEX;3;22/06/2016;22/06/2016;;;;;;;;;;Não
DEX.017;IMS18E59 - Crizal Forte UV E-SPF 35 Mithril 1.5 - Convexo;DEX;1;20/01/2016;20/01/2016;;;;;;;;;;Não
DEX.018;IMS18F19 - Crizal Forte UV E-SPF 35 Mithril 1.6 - Côncavo;DEX;2;22/06/2017;22/06/2017;;;;;;;;;;Não
DEX.019;IMS18E65 - Crizal Forte E-SPF 35 Mithril 1.5 - Côncavo;DEX;3;22/06/2016;22/06/2016;;;;;;;Mesmo documento do Crizal Forte CC;;;Não
DEX.020;IMS18E53 - Crizal Prevência Mithril 1.5 - Convexo;DEX;3;01/09/2016;01/09/2016;;;;;;;;;;Não
DEX.021;IMS18F19 - Crizal Forte UV E-SPF 35 Mithril 1.6 - Côncavo;DEX;2;22/06/2017;22/06/2017;;;;;;;;;;Não
DEX.022;IMS18F36 - Crizal Prevência Mithril 1.6 - Convexo;DEX;1;23/11/2017;23/11/2017;;;;;;;;;;Não
DEX.023;IMS18E98 Crizal Sapphire Mithril 1.5 - Côncavo (LGNASUL UV35);DEX;1;17/10/2017;17/10/2017;;;;;;;;;;Não
DEX.024;IMS18B54 Crizal Sapphire Mithril 1.5 - Convexo (LGNASUL UV35);DEX;1;10/03/2017;10/03/2017;;;;;;;;;;Não
DEX.025;IMS18E97 Crizal Sapphire UV E-SPF 35 Mithril 1.6 - Côncavo;DEX;1;15/12/2016;15/12/2016;;;;;;;;;;Não
DEX.026;IMS18F20  Crizal Sapphire UV E-SPF 35 Mithril 1.6 - Convexo;DEX;1;15/09/2017;15/09/2017;;;;;;;;;;Não
DEX.027;IMS18E67 CR39_MITHRIL_1.5_MC3_RX;DEX;1;28/01/2016;28/01/2016;;;;;;;;;;Não
DEX.030;IMS18F19 - Crizal Forte UV E-SPF 35 Mithril 1.6 - Côncavo;DEX;2;22/06/2017;22/06/2017;;;;;;;;;;Não
DEX.033;Manual de aplicação 5S;DEX;0;08/10/2020;03/12/2020;;;;;;;;09/07/2026;08/10/2026;Não
DEX.034;ABNT NBR ISO13485:2016 - Produtos para saúde - Sistemas de gestão da qualidade - Requisitos para fins regulamentares;DEX;0;12/11/2020;12/11/2020;;;;;;;;18/05/2026;17/08/2026;Sim
DEX.035;Cross Hatch Adhesion Test for Hard Coating - ISTM-02-010;DEX;8;11/03/2025;11/03/2025;;;;;;;;11/03/2026;09/06/2026;Sim
DEX.036;Tabela de Incompatibilidade;DEX;0;08/04/2021;12/04/2021;;;;;;;Anexo 2;;;Sim
DEX.038;Rótulos de Classe I  e Recicláveis;DEX;0;12/04/2021;13/04/2021;;;;;;;Inserido como DEX;13/10/2025;29/12/2025;Sim
DEX.039;ABNT NBR ISO 8980-2:2021 Parte 2: Especificações para lentes de potência variável;DEX;1;04/09/2023;04/09/2023;;;;;;;Óptica oftálmica - Lentes para óculos acabadas e não cortadas Parte 2: Especificações para lentes de potência variável;04/09/2025;04/12/2025;Sim
DEX.040;DIP PROCESSES PARAMETERS - HC - DO-ENG02.0488;DEX;15;30/06/2021;30/06/2021;;;;;;;DO-ENG(02) OPERATING MODE.0488_15 DIP PROCESSES PARAMETERS.docx - DO-ENG(02) OPERATING MODE.0488_15 (1);30/06/2026;29/09/2026;Sim
